net,length_um
_1387_,62.12µm
_2349_,62.06µm
net588,61.99µm
net684,61.92µm
_1072_,61.81µm
u_write_arbiter.aw_buf_addr\[17\],61.64µm
net569,61.46µm
net661,61.44µm
net55,61.34µm
net427,61.32µm
u_write_arbiter.u_write_qos.current_master\[1\],61.24µm
clknet_leaf_78_aclk,61.08µm
_2236_,60.92µm
_1602_,60.78µm
_1585_,60.68µm
_0616_,60.62µm
_1541_,60.62µm
net303,60.6µm
u_read_arbiter.u_read_qos.current_master\[1\],60.5µm
net174,59.5µm
_2992_,59.48µm
_1944_,59.32µm
net425,59.24µm
_1538_,58.96µm
net245,58.92µm
net657,58.9µm
_1071_,58.195µm
net252,57.84µm
clknet_leaf_39_aclk,57.84µm
net611,57.7µm
clknet_leaf_11_aclk,57.48µm
net682,57.32µm
clknet_leaf_70_aclk,57.02µm
_0588_,56.94µm
net619,56.84µm
_1235_,56.78µm
_1609_,56.74µm
clknet_leaf_48_aclk,56.54µm
_3216_,56.44µm
u_write_arbiter.u_write_qos.age_m2\[0\],56.42µm
u_write_arbiter.aw_buf_addr\[24\],56.34µm
net379,56.28µm
_1995_,56.18µm
u_write_arbiter.w_buf_data\[113\],56.06µm
clknet_leaf_27_aclk,55.68µm
net672,55.52µm
_0830_,55.22µm
_2065_,55.14µm
clknet_leaf_69_aclk,55.12µm
_1106_,54.48µm
_0620_,54.42µm
_1540_,54.24µm
net750,54.21µm
net299,54.18µm
_1650_,54.14µm
net310,54.08µm
_0941_,53.78µm
net353,53.78µm
_0912_,53.7µm
_0705_,53.6µm
_1727_,53.42µm
_2327_,53.34µm
net586,53.28µm
u_write_arbiter.u_write_qos.m0_burst_count\[4\],52.96µm
clknet_leaf_68_aclk,52.82µm
net517,52.78µm
net385,52.62µm
clknet_leaf_100_aclk,52.62µm
net52,52.58µm
_1566_,52.5µm
net104,52.4µm
u_write_arbiter.u_write_qos.budget_3\[0\],52.33µm
_1117_,52.14µm
_2010_,52.06µm
net120,51.5µm
_1554_,51.12µm
net765,51.02µm
net430,50.5µm
u_write_arbiter.u_write_qos.m0_burst_count\[3\],50.46µm
clknet_leaf_57_aclk,50.42µm
u_write_arbiter.aw_buf_addr\[89\],50.41µm
_3186_,50.32µm
_0846_,50.3µm
u_write_arbiter.aw_buf_addr\[116\],50.22µm
net48,50.2µm
net507,49.96µm
_1385_,49.92µm
_1180_,49.84µm
clknet_leaf_72_aclk,49.8µm
_0902_,49.66µm
_3032_,49.66µm
u_write_arbiter.w_buf_data\[74\],49.52µm
clknet_leaf_5_aclk,49.22µm
_1142_,49.05µm
clknet_leaf_47_aclk,49µm
net212,48.88µm
clknet_leaf_20_aclk,48.74µm
u_read_arbiter.u_read_qos.current_master\[0\],48.64µm
clknet_leaf_9_aclk,48.56µm
net496,48.52µm
_2916_,48.5µm
clknet_leaf_10_aclk,48.5µm
_1349_,48.42µm
_1451_,48.42µm
u_write_arbiter.u_write_qos.current_master\[0\],48.4µm
clknet_leaf_95_aclk,48.4µm
_0523_,48µm
u_write_arbiter.aw_buf_addr\[54\],48µm
_1599_,47.935µm
_0564_,47.7µm
net113,47.66µm
_2337_,47.4µm
clknet_leaf_43_aclk,47.04µm
net469,46.86µm
_3098_,46.6µm
net292,46.56µm
u_write_arbiter.w_buf_data\[80\],46.52µm
net418,46.34µm
net540,46.24µm
_1446_,46.22µm
net211,46.18µm
_0592_,46.08µm
_0598_,46.06µm
_2248_,46.06µm
net697,45.98µm
_0600_,45.955µm
net172,45.74µm
_3027_,45.6µm
clknet_leaf_105_aclk,45.54µm
_1046_,45.42µm
_0584_,45.36µm
_2959_,45.3µm
_3211_,45.22µm
_2084_,44.94µm
_2146_,44.92µm
net119,44.78µm
_2163_,44.72µm
_2873_,44.62µm
_2455_,44.58µm
net54,44.56µm
_2259_,44.54µm
net376,44.48µm
net478,44.3µm
_1347_,44.12µm
_0857_,43.92µm
net207,43.92µm
_2945_,43.78µm
net519,43.74µm
clknet_leaf_22_aclk,43.72µm
clknet_leaf_67_aclk,43.42µm
u_read_arbiter.u_read_qos.age_m3\[4\],43.3µm
u_write_arbiter.aw_buf_addr\[57\],43.22µm
_1702_,43.2µm
net218,43.2µm
net35,43.12µm
clknet_leaf_51_aclk,43.04µm
_2456_,42.86µm
net152,42.86µm
u_write_arbiter.aw_buf_addr\[117\],42.84µm
net504,42.8µm
u_write_arbiter.u_write_qos.age_m2\[4\],42.735µm
_2267_,42.72µm
_1338_,42.54µm
_1019_,42.52µm
_2314_,42.42µm
clknet_leaf_58_aclk,42.34µm
_1613_,42.18µm
u_write_arbiter.u_write_qos.age_m3\[4\],42.18µm
clknet_leaf_0_aclk,42.16µm
_2298_,42.02µm
net233,41.94µm
net557,41.58µm
u_write_arbiter.aw_buf_addr\[30\],41.48µm
net327,41.44µm
_0767_,41.1µm
_2241_,41µm
_1212_,40.9µm
net428,40.86µm
u_write_arbiter.aw_buf_addr\[55\],40.62µm
_2309_,40.46µm
u_write_arbiter.aw_buf_addr\[84\],40.46µm
u_write_arbiter.aw_buf_addr\[56\],40.34µm
_0566_,40.28µm
_2154_,40.28µm
_3127_,40.1µm
_1073_,40.09µm
net244,39.64µm
u_write_arbiter.aw_buf_addr\[45\],39.62µm
net304,39.6µm
net606,39.54µm
clknet_leaf_86_aclk,39.52µm
_2820_,39.25µm
_0617_,39.16µm
net214,39.12µm
clknet_leaf_37_aclk,39.1µm
net272,38.92µm
net248,38.78µm
_2341_,38.72µm
_0525_,38.6µm
net219,38.6µm
u_read_arbiter.u_read_qos.budget_2\[3\],38.54µm
u_write_arbiter.u_write_qos.age_m3\[1\],38.435µm
_1370_,38.4µm
net383,38.14µm
u_write_arbiter.aw_buf_addr\[6\],38.12µm
_0818_,38.08µm
_2827_,38.04µm
_3078_,38.02µm
_3054_,38µm
_0545_,37.96µm
u_write_arbiter.aw_buf_addr\[26\],37.96µm
_1219_,37.94µm
clknet_leaf_85_aclk,37.86µm
net124,37.78µm
u_write_arbiter.aw_buf_addr\[7\],37.7µm
u_write_arbiter.w_buf_data\[14\],37.66µm
_0738_,37.64µm
net313,37.58µm
_3234_,37.54µm
net522,37.4µm
net762,37.32µm
_2837_,37.28µm
net237,36.98µm
u_write_arbiter.u_write_qos.budget_1\[3\],36.92µm
_2184_,36.86µm
net419,36.86µm
_2335_,36.76µm
clknet_leaf_87_aclk,36.72µm
u_write_arbiter.w_buf_data\[76\],36.7µm
u_read_arbiter.u_read_qos.age_m1\[0\],36.67µm
net502,36.66µm
u_write_arbiter.u_write_qos.age_m2\[1\],36.62µm
u_read_arbiter.u_read_qos.age_m2\[7\],36.58µm
net511,36.5µm
net251,36.32µm
_2963_,36.22µm
_3037_,36.22µm
net461,36.18µm
u_read_arbiter.u_read_qos.age_m2\[2\],36.14µm
_1761_,36.02µm
net293,35.96µm
net495,35.94µm
u_write_arbiter.aw_buf_addr\[86\],35.9µm
_1912_,35.6µm
u_write_arbiter.u_write_qos.age_m1\[0\],35.6µm
_0553_,35.58µm
net523,35.52µm
_1015_,35.46µm
_0593_,35.44µm
_0587_,35.38µm
net325,35.34µm
net308,35.32µm
_1118_,35.14µm
net687,35.1µm
_0710_,34.88µm
_1178_,34.84µm
u_write_arbiter.u_write_qos.age_m1\[4\],34.8µm
_0656_,34.78µm
_0768_,34.665µm
u_read_arbiter.u_read_qos.age_m2\[6\],34.64µm
u_write_arbiter.w_buf_data\[26\],34.54µm
u_write_arbiter.w_state\[0\],34.52µm
net676,34.47µm
_2947_,34.44µm
_0645_,34.42µm
_1597_,34.38µm
net391,34.34µm
_2343_,34.14µm
u_write_arbiter.aw_buf_addr\[85\],33.94µm
_1524_,33.9µm
net68,33.9µm
_0977_,33.83µm
_1628_,33.82µm
