net,length_um
net1,1.56183mm
net948,1.54472mm
_1894_,1.50895mm
_1989_,1.5016mm
net949,1.48954mm
_1827_,1.45945mm
_1895_,1.32104mm
_1828_,1.30742mm
_2677_,1.30328mm
_1878_,1.30238mm
net950,1.2999mm
_2643_,1.29291mm
_1502_,1.25712mm
_1505_,1.25356mm
net945,1.24496mm
net944,1.24406mm
_1513_,1.24155mm
_1536_,1.23985mm
_1509_,1.23698mm
_1481_,1.22312mm
_1528_,1.21319mm
_1532_,1.16702mm
net947,1.15239mm
net946,1.14559mm
net941,1.13966mm
_1990_,1.13114mm
_1880_,1.12014mm
_1511_,1.06229mm
_1893_,1.048985mm
_1521_,1.0464mm
net497,1.02974mm
_1515_,1.01456mm
_1282_,1.00225mm
_1517_,993.64µm
net541,976.38µm
net412,962.86µm
_1866_,962.75µm
_2133_,940.28µm
net411,935.2µm
net18,934.32µm
clknet_3_6__leaf_aclk,932.21µm
u_read_arbiter.r_target_slave\[0\],929.39µm
_1531_,928.08µm
_1265_,923.38µm
net468,921.24µm
_1855_,919.12µm
net11,918.26µm
u_read_arbiter.r_target_slave\[1\],917.38µm
_1864_,909.55µm
net25,902.16µm
aclk,900.59µm
_1523_,894.32µm
_1915_,890.54µm
_1291_,889.64µm
clknet_3_7__leaf_aclk,887.38µm
_1525_,876.52µm
_1294_,876.47µm
clknet_3_3__leaf_aclk,876.42µm
clknet_0_aclk,872.73µm
_1463_,870.94µm
_1473_,868.12µm
net15,866.93µm
net595,865.76µm
_1471_,857.055µm
_1459_,838.42µm
net13,833.56µm
_1465_,830.22µm
_1489_,828.8µm
_1286_,822.67µm
_1899_,821.01µm
_1300_,816.74µm
_2688_,814.16µm
net548,811.26µm
_1477_,808.92µm
net17,802.74µm
net23,802.22µm
net24,800.16µm
_1280_,794.08µm
clknet_3_0__leaf_aclk,789.52µm
_1457_,774.94µm
net544,774.34µm
net474,772.6µm
_2654_,770.55µm
net555,761.86µm
_1886_,751.05µm
net12,749.76µm
net26,746.32µm
net10,745.4µm
_1031_,744.11µm
_1994_,731.78µm
net536,731.56µm
_1475_,730.48µm
_1297_,723.9µm
_2054_,722.515µm
_2007_,720.38µm
_2131_,719.57µm
_1483_,717.54µm
_1887_,716.96µm
net784,713.52µm
_1461_,705.06µm
_1469_,704.16µm
_2249_,702.59µm
_1890_,699.29µm
net16,694.56µm
_2047_,692.66µm
net671,688.61µm
net943,680.18µm
u_write_arbiter.arb_tx_done,677.12µm
_1467_,673.9µm
_1104_,673.1µm
net417,666.82µm
_1499_,666.1µm
_1374_,663.17µm
_1258_,663.12µm
net14,662.6µm
_3138_,654.7µm
clknet_3_1__leaf_aclk,654.56µm
_1607_,653.48µm
_2549_,651.815µm
_1445_,651.68µm
_3128_,649.78µm
_1491_,646.28µm
net533,643.39µm
net597,642.68µm
net775,640.63µm
_1898_,639.6µm
_1612_,631.3µm
_1301_,630.64µm
_2929_,629.48µm
_1825_,628.41µm
net298,620.92µm
net487,610.38µm
net677,607.44µm
_2040_,605.56µm
_1885_,604.65µm
_2930_,603.21µm
_3106_,603.08µm
_3009_,600.12µm
_2441_,598.66µm
net906,598.58µm
_1871_,593.88µm
net907,589.68µm
_3119_,587.31µm
_1862_,585.39µm
_2138_,581.74µm
_3132_,579.52µm
net905,577.76µm
_1882_,577.195µm
_1905_,576.92µm
_2871_,576.84µm
_0983_,575.72µm
_2132_,567.82µm
_1897_,564.46µm
_0633_,556.8µm
_1861_,554.88µm
_1610_,553.66µm
_1537_,551.36µm
_1879_,545.82µm
_2226_,545.58µm
_1872_,540.595µm
_2545_,540.54µm
_1493_,539.24µm
_2134_,538.28µm
_1891_,538.2µm
_1017_,534.97µm
_2077_,534.02µm
_1929_,531.26µm
_1503_,530.82µm
_2875_,527.66µm
_1266_,524.62µm
net467,522.04µm
net892,520.915µm
net908,517.44µm
_2137_,517.085µm
net434,516.66µm
_2864_,516.55µm
_1485_,512.265µm
_2156_,511.68µm
_1917_,511.64µm
net438,506.68µm
net896,501.58µm
_1935_,500.94µm
_1904_,500.34µm
net433,498.52µm
net626,492.68µm
_3020_,492.28µm
net435,491.52µm
_1947_,487.7µm
net439,487.36µm
net501,486.8µm
_1873_,486.44µm
_2866_,483.63µm
_1938_,482.1µm
net492,477.64µm
_1997_,471.27µm
net734,471.1µm
net437,467.36µm
net903,466.86µm
net242,464.04µm
_1950_,463.86µm
_2867_,462.87µm
net110,462.8µm
_0609_,461.82µm
_2459_,461.42µm
net731,461.2µm
_1881_,460.06µm
_3001_,458.68µm
_1279_,456.09µm
net500,455.84µm
net776,454.5µm
_1611_,448.62µm
_2108_,446.905µm
net28,446.78µm
net625,444.84µm
_1495_,442.86µm
net654,440.59µm
net594,439.2µm
_2113_,438.72µm
net7,438.35µm
_1290_,437.38µm
net584,436.01µm
_1443_,435.98µm
net535,435.77µm
_1028_,435.74µm
clknet_3_2__leaf_aclk,435.48µm
_2870_,434.71µm
_1487_,433.32µm
net552,431.99µm
net624,431.9µm
_2079_,430.88µm
_1906_,430.78µm
net5,430.54µm
net256,430.16µm
net532,427.56µm
net599,426.4µm
_1920_,426.14µm
_1529_,424.86µm
net108,424.66µm
_1856_,424.19µm
_2998_,422.94µm
net302,420.88µm
net470,419.7µm
_1497_,418.24µm
_2217_,418.18µm
net797,417.56µm
net390,417.52µm
_2516_,416.61µm
_1293_,416.24µm
net253,416.14µm
net436,415.98µm
_2478_,415.42µm
_2938_,414.13µm
_0640_,412.04µm
_2882_,411.66µm
_2876_,408.5µm
_2878_,407.74µm
_1852_,406.38µm
net465,403.32µm
clknet_3_5__leaf_aclk,402.76µm
_0638_,402.44µm
_2972_,400.6µm
u_response_router.w_target_slave\[0\],397.92µm
_2721_,396.29µm
net135,394.64µm
net647,393.24µm
net583,392.75µm
net107,389.54µm
net782,388.82µm
net660,387.49µm
net464,381.74µm
net106,381.6µm
net409,380.42µm
net655,379.16µm
_2071_,378.56µm
net187,378.52µm
net27,378.4µm
net679,378.4µm
_2766_,378.27µm
_1452_,376.49µm
net109,374.66µm
net674,372.36µm
_1296_,371.64µm
_1480_,370.54µm
net534,369.28µm
clknet_3_4__leaf_aclk,367.96µm
net462,365.6µm
net459,364.38µm
_2527_,364.01µm
net704,363.86µm
_2076_,363.62µm
net29,361.08µm
net6,359.96µm
_2453_,359.94µm
_2059_,358.64µm
net897,357.6µm
net683,352.2µm
u_read_arbiter.r_target_invalid,351.6µm
_1863_,350.72µm
net105,347.38µm
_2800_,340.98µm
net598,340.95µm
net4,340.6µm
net392,339.74µm
net217,338.78µm
net530,336.88µm
_0626_,335.34µm
net615,332.87µm
_0630_,331.08µm
net410,330.9µm
_1287_,329.52µm
net399,327.58µm
_1535_,326.66µm
net499,325.48µm
net894,325.08µm
net893,324.6µm
net528,323.92µm
net591,322.56µm
net895,321.635µm
net703,320.82µm
_2732_,320.21µm
net448,319.3µm
net314,319.28µm
u_read_arbiter.u_read_qos.f_first_cycle,315.95µm
_0629_,315.09µm
net258,313.86µm
net2,311.68µm
_3187_,311.5µm
_1943_,310.56µm
net393,309.54µm
net733,309.34µm
net466,308.86µm
net675,306.64µm
net735,306.18µm
net481,304.4µm
net216,301µm
_3232_,300.62µm
net785,299.18µm
_2896_,299.1µm
_2031_,297.64µm
_3011_,295.84µm
_1256_,295.42µm
_1925_,294.98µm
net463,293.96µm
net255,293.52µm
_2894_,292.48µm
_2904_,292.48µm
net150,292.42µm
_2907_,291.28µm
net9,291.15µm
net752,290.14µm
_2039_,289.02µm
net753,288.06µm
net402,287.76µm
net356,286.76µm
net742,285.38µm
net8,285.1µm
clknet_2_0_0_aclk,283.46µm
net162,282.175µm
_2036_,282.12µm
net265,281.06µm
net254,281.04µm
net85,281.02µm
net744,280.8µm
_1283_,280.3µm
net476,278.58µm
net198,278.51µm
net151,278.18µm
net748,277.1µm
net264,277.04µm
net311,275.88µm
net483,273.16µm
net741,272.28µm
_2898_,271.02µm
_1261_,270.5µm
net441,270.14µm
net301,268.24µm
_2196_,266.76µm
net3,265.76µm
_1314_,265.24µm
net607,264.96µm
_2034_,264.51µm
net491,263.94µm
net743,263.24µm
net447,262.72µm
net490,262.6µm
net773,262.52µm
_1455_,261.57µm
net446,259.8µm
net155,259.5µm
net431,259.38µm
net616,258.96µm
_2191_,258.48µm
net456,258.22µm
net493,257.64µm
net190,257.56µm
_2252_,257.44µm
net457,256µm
_2900_,255.44µm
net266,254.88µm
clknet_2_3_0_aclk,254.66µm
net796,254.25µm
net452,253.44µm
net494,253.02µm
net610,252.44µm
_2909_,250.88µm
net389,250.48µm
_0628_,250.21µm
_2159_,250.06µm
net22,249.74µm
net458,249.56µm
u_write_arbiter.w_buf_data\[70\],249.12µm
net482,248.92µm
_1854_,248.8µm
_2984_,246.92µm
net357,246.66µm
net740,245.68µm
_3015_,245.46µm
_2974_,244.96µm
net125,244.9µm
_2863_,243.52µm
net680,243.4µm
_2186_,242.38µm
net529,242µm
u_write_arbiter.w_buf_data\[69\],241.66µm
net527,241.48µm
net455,240.98µm
_2060_,240.86µm
_0723_,240.485µm
_2083_,238.38µm
net573,238.12µm
net143,238µm
clknet_2_1_0_aclk,237.88µm
net614,236.58µm
net352,236.08µm
_2219_,236.045µm
net91,235.94µm
clknet_2_2_0_aclk,235.48µm
_2229_,235.22µm
net96,234.98µm
_3195_,234.28µm
net524,232.3µm
_2489_,231.38µm
_2121_,231.24µm
_3192_,230.92µm
_0719_,230.17µm
_2063_,229.76µm
_2221_,228.07µm
net691,227.8µm
net843,226.92µm
net747,225.62µm
net358,225.18µm
net159,222.06µm
net745,222.02µm
net798,221.92µm
_1136_,221.82µm
_1939_,220.1µm
net939,219.64µm
_0725_,218.735µm
net526,218.3µm
_2874_,216.97µm
net751,215.74µm
_3025_,215.44µm
net222,215.28µm
net641,215.16µm
net730,213.94µm
_2001_,213.66µm
_3172_,213.58µm
_1985_,212.28µm
net59,211.68µm
net531,209.56µm
_0736_,207.79µm
net567,206.24µm
net509,205.46µm
_2092_,204.12µm
net371,202µm
net696,201.68µm
net940,201.16µm
net746,200.98µm
u_write_arbiter.w_buf_data\[95\],200.68µm
net401,199.88µm
_2225_,199.43µm
_0618_,198.12µm
net241,197.26µm
_0714_,196.24µm
net153,195.98µm
net590,195.24µm
_2101_,195.16µm
_2559_,195.135µm
_2089_,193.58µm
net166,193.54µm
net354,192.29µm
net663,191.1µm
_3005_,190.22µm
_2228_,190.08µm
net167,189.76µm
_2789_,189.74µm
_1412_,188.19µm
u_read_arbiter.arb_tx_done,187.91µm
_0621_,187.12µm
_2166_,186µm
_3190_,184.78µm
_2402_,183.96µm
net592,183.84µm
_0753_,182.45µm
_2098_,182.06µm
net686,182µm
net638,181.98µm
net637,181.52µm
net34,180.94µm
net729,179.26µm
net699,179.17µm
_1478_,178.75µm
_3012_,178.6µm
_0734_,177.88µm
net587,177.42µm
u_write_arbiter.w_buf_data\[94\],177.27µm
_0053_,176.92µm
_2620_,176.65µm
net164,174.02µm
_1874_,172.5µm
net498,171.36µm
_2546_,170.42µm
net783,170.23µm
_0578_,170.01µm
_0586_,169.54µm
net781,169.04µm
_0612_,168.88µm
_2245_,168.37µm
net234,168.12µm
_2861_,167.64µm
net739,167.38µm
_2086_,166.5µm
_2073_,165.74µm
net319,165.74µm
_1991_,165.2µm
_2224_,164.46µm
_2095_,164.04µm
_2227_,162.04µm
_3241_,160.88µm
net142,159.82µm
net21,159.36µm
net737,158.88µm
net503,158.3µm
_1496_,158.26µm
_1544_,158.12µm
net66,158.04µm
net884,157.58µm
_1527_,157.52µm
_1526_,157.16µm
_2387_,156.48µm
net30,155.1µm
_1101_,154.88µm
_2755_,154.02µm
net178,152.34µm
u_write_arbiter.aw_buf_addr\[68\],152.26µm
_2949_,152.02µm
_2122_,151.3µm
net872,150.42µm
_0601_,150.1µm
net791,149.14µm
_0704_,148.67µm
_3068_,147.92µm
_1105_,147.89µm
_1500_,147.1µm
net168,147.06µm
net262,146.9µm
_2609_,146.87µm
_1921_,146.86µm
net779,146.4µm
net260,145.76µm
_2240_,145.52µm
u_write_arbiter.w_buf_data\[90\],145.36µm
net208,145.24µm
_1974_,144.58µm
_1575_,144.56µm
u_response_router.w_target_invalid,143.96µm
_1980_,143.48µm
_0534_,143.475µm
_2230_,143.46µm
_1070_,143.06µm
_2239_,142.78µm
net163,142.52µm
_1533_,142.32µm
_1957_,141.94µm
_1968_,141.3µm
net246,140.94µm
_1021_,140.84µm
net19,140.68µm
net518,139.78µm
net505,139.72µm
_2424_,139.66µm
_0807_,139.32µm
_2862_,138.24µm
net942,137.94µm
net337,137.76µm
_1964_,136.385µm
net665,135.2µm
net618,135.18µm
net415,135.06µm
net656,135.02µm
net111,134.98µm
_3017_,134.6µm
_0820_,133.91µm
net280,133.84µm
_1954_,133.74µm
net414,133.44µm
_1100_,132.64µm
_3062_,132.44µm
net98,132.24µm
_1875_,132.12µm
net793,131.93µm
_1315_,131.67µm
_3036_,130.76µm
net593,130.64µm
_1067_,130.33µm
_1563_,130.04µm
_0979_,129.56µm
net161,129.22µm
net328,129.14µm
net770,127.32µm
_1961_,126.94µm
_0632_,126.86µm
net88,126.8µm
net831,126.76µm
clknet_leaf_38_aclk,125.51µm
net118,124.88µm
net185,124.86µm
_3096_,124.78µm
net585,124.76µm
_3228_,124.64µm
_2918_,124.52µm
_2563_,124.36µm
_1889_,124.24µm
net413,122.68µm
u_write_arbiter.aw_buf_addr\[121\],122.26µm
net205,122.26µm
_1267_,122.165µm
u_write_arbiter.aw_buf_addr\[63\],121.79µm
_2212_,121.68µm
_2222_,120.46µm
_0549_,119.79µm
net868,119.5µm
_2550_,118.9µm
_0590_,116.21µm
_1539_,115.56µm
net102,115.28µm
net239,115.24µm
_2247_,114.72µm
_2142_,114.6µm
_0984_,114.24µm
net20,114.16µm
_2927_,113.76µm
_1826_,113.42µm
net223,113.3µm
net115,113.16µm
net880,112.92µm
_1143_,112.58µm
clknet_leaf_34_aclk,111.94µm
_1687_,111.2µm
net93,111.14µm
net596,111.06µm
net898,111µm
_1519_,110.82µm
_3080_,110.66µm
net681,110.14µm
_2016_,109.92µm
net764,109.78µm
_1024_,109.68µm
net295,109.52µm
net432,109.24µm
net472,109.02µm
net123,108.74µm
net416,108.64µm
_1507_,107.96µm
_2022_,107.5µm
net204,107.38µm
clknet_leaf_91_aclk,107.34µm
u_write_arbiter.aw_buf_addr\[53\],107.15µm
_2220_,106.845µm
net688,106.54µm
_1052_,106.24µm
_2045_,105.84µm
net786,105.32µm
clknet_leaf_63_aclk,105.31µm
net103,104.36µm
_0563_,104.32µm
net180,104.12µm
net147,104.1µm
_3175_,104.06µm
net184,103.84µm
net369,103.46µm
net429,101.94µm
net121,101.56µm
net373,101.54µm
_1543_,101.26µm
clknet_leaf_103_aclk,101.14µm
net215,100.56µm
_3031_,100.4µm
clknet_leaf_93_aclk,100.2µm
u_write_arbiter.aw_buf_addr\[60\],100.12µm
clknet_leaf_97_aclk,99.6µm
net763,99.58µm
net171,99.24µm
net329,99.2µm
_1548_,99.16µm
clknet_leaf_32_aclk,98.84µm
_1983_,98.58µm
u_response_router.w_target_slave\[1\],98.32µm
u_write_arbiter.aw_buf_addr\[123\],96.86µm
net757,96.8µm
net297,96.7µm
net732,96.48µm
u_write_arbiter.aw_buf_addr\[91\],95.5µm
net250,95.36µm
_0576_,95.3µm
net225,95.02µm
net761,94.76µm
_1065_,94.15µm
net736,93.7µm
_3074_,93.64µm
net406,93.64µm
_0824_,93.54µm
net84,93.46µm
net340,93.215µm
_0535_,92.37µm
clknet_leaf_79_aclk,92.32µm
net774,92.3µm
clknet_leaf_19_aclk,92.3µm
clknet_leaf_98_aclk,92.28µm
clknet_leaf_54_aclk,92.24µm
net685,92.08µm
net488,91.6µm
clknet_leaf_25_aclk,91.34µm
u_write_arbiter.w_buf_data\[46\],90.25µm
net122,90.16µm
_3163_,90.1µm
clknet_leaf_6_aclk,90.02µm
_1530_,89.14µm
clknet_leaf_50_aclk,88.84µm
_2951_,88.7µm
net175,88.445µm
net72,88.28µm
net788,88.24µm
u_write_arbiter.aw_buf_addr\[64\],88.16µm
clknet_leaf_56_aclk,88.02µm
net678,87.64µm
_2895_,87.12µm
clknet_leaf_53_aclk,87.04µm
net348,86.98µm
net114,86.9µm
u_write_arbiter.aw_buf_addr\[95\],86.78µm
u_write_arbiter.aw_buf_addr\[59\],86.67µm
clknet_leaf_2_aclk,86.56µm
_1479_,86.46µm
_2051_,86.46µm
clknet_leaf_80_aclk,86.24µm
u_write_arbiter.u_write_qos.is_active,86.16µm
_1304_,86.12µm
_2547_,85.81µm
net176,85.72µm
_1952_,85.52µm
net49,85.26µm
net720,85.04µm
_1458_,84.96µm
u_write_arbiter.aw_buf_addr\[18\],84.94µm
_1969_,84.86µm
_2102_,84.32µm
u_read_arbiter.u_read_qos.is_active,84.03µm
_0610_,83.5µm
_1029_,82.99µm
_0953_,82.6µm
_1592_,82.6µm
_0966_,81.86µm
net132,81.58µm
u_write_arbiter.aw_buf_addr\[81\],81.48µm
_1490_,81.12µm
_0637_,81.06µm
_1580_,80.61µm
_2924_,80.52µm
clknet_leaf_35_aclk,80.26µm
net170,80.08µm
net271,80.02µm
_1313_,79.82µm
_0819_,79.7µm
_2910_,79.68µm
_0599_,79.51µm
_1032_,79.24µm
_3129_,78.76µm
u_response_router.w_owner_id\[0\],78.68µm
_3052_,78.52µm
net698,77.9µm
_2943_,77.78µm
_1562_,77.72µm
_0627_,77.24µm
u_write_arbiter.aw_buf_addr\[92\],76.96µm
net755,76.58µm
u_write_arbiter.aw_buf_addr\[16\],76.3µm
u_write_arbiter.aw_buf_addr\[127\],75.92µm
u_write_arbiter.aw_buf_addr\[96\],75.26µm
net282,75.12µm
_2027_,74.82µm
_2569_,74.8µm
net276,74.8µm
net38,74.64µm
_1998_,74.6µm
_1488_,74.38µm
_2052_,74.38µm
clknet_leaf_62_aclk,74.2µm
net243,74.16µm
_2143_,73.68µm
net521,73.6µm
clknet_leaf_96_aclk,73.27µm
u_write_arbiter.aw_buf_addr\[31\],73.26µm
_2090_,72.94µm
u_write_arbiter.w_buf_data\[82\],72.94µm
_1376_,72.9µm
_3046_,72.84µm
clknet_leaf_3_aclk,72.8µm
_0575_,72.47µm
net802,72.46µm
net669,72.41µm
clknet_leaf_71_aclk,72.38µm
clknet_leaf_36_aclk,72.26µm
_1336_,72.135µm
clknet_leaf_26_aclk,72.08µm
_1883_,71.92µm
clknet_leaf_92_aclk,71.7µm
net652,71.6µm
net64,71.28µm
_1970_,70.8µm
_3103_,70.56µm
net489,70.48µm
_2976_,70.46µm
net232,70.42µm
_1558_,70.08µm
clknet_leaf_24_aclk,69.94µm
_1442_,69.86µm
_3041_,69.34µm
_2978_,69.32µm
net368,69.18µm
net160,69.16µm
_2359_,68.94µm
clknet_leaf_77_aclk,68.7µm
_1316_,68.56µm
_2028_,68.28µm
net240,68.14µm
_0539_,68.1µm
_1348_,68.08µm
clknet_leaf_16_aclk,68.02µm
clknet_leaf_4_aclk,67.96µm
_1976_,67.94µm
net407,67.86µm
_1305_,67.52µm
_1819_,67.42µm
_1534_,67.28µm
_1012_,67.26µm
net375,67.24µm
_0898_,66.88µm
_0547_,66.62µm
u_write_arbiter.w_buf_data\[42\],66.59µm
net426,66.44µm
_1982_,66.4µm
_2881_,66.18µm
_2544_,66.16µm
net60,66µm
net36,65.98µm
clknet_leaf_64_aclk,65.96µm
net604,65.72µm
clknet_leaf_81_aclk,65.72µm
_1981_,65.64µm
_2317_,65.52µm
_1703_,65.06µm
net69,65.03µm
net382,64.92µm
net341,64.9µm
clknet_leaf_33_aclk,64.88µm
_3076_,64.18µm
_2096_,64.14µm
clknet_leaf_88_aclk,63.72µm
clknet_leaf_55_aclk,63.49µm
net727,63.12µm
_1375_,63.04µm
clknet_leaf_59_aclk,62.8µm
u_write_arbiter.aw_buf_addr\[29\],62.63µm
_1582_,62.42µm
u_write_arbiter.w_buf_data\[99\],62.34µm
_1586_,62.3µm
