net,length_um
u_read_arbiter.u_read_qos.age_m2\[7\],40.62µm
net485,40.54µm
_3168_,40.52µm
u_write_arbiter.w_buf_data\[108\],40.52µm
clknet_leaf_39_aclk,40.52µm
_1194_,40.36µm
_1606_,40.32µm
clknet_leaf_32_aclk,40.29µm
clknet_leaf_34_aclk,39.8µm
clknet_leaf_67_aclk,39.74µm
net386,39.72µm
net196,39.715µm
net412,39.7µm
clknet_leaf_75_aclk,39.7µm
u_write_arbiter.w_buf_data\[47\],39.56µm
net268,39.34µm
u_read_arbiter.u_read_qos.age_m3\[0\],39.31µm
_0593_,39.2µm
_2151_,38.96µm
_1939_,38.9µm
u_write_arbiter.u_write_qos.age_m1\[1\],38.76µm
_3059_,38.74µm
_1181_,38.7µm
u_write_arbiter.u_write_qos.current_master\[1\],38.56µm
u_read_arbiter.u_read_qos.budget_1\[3\],38.38µm
_2122_,38.36µm
_1379_,38.28µm
_2403_,38.28µm
_2236_,38.22µm
_0544_,37.9µm
u_write_arbiter.u_write_qos.age_m1\[6\],37.9µm
_0659_,37.74µm
net483,37.7µm
u_read_arbiter.u_read_qos.age_m3\[1\],37.63µm
_3081_,37.44µm
_2347_,37.36µm
net387,37.34µm
_3087_,37.24µm
net396,37µm
_2134_,36.995µm
u_write_arbiter.aw_buf_addr\[86\],36.68µm
_1112_,36.67µm
u_write_arbiter.aw_buf_addr\[84\],36.56µm
u_write_arbiter.aw_buf_addr\[32\],36.5µm
_0826_,36.42µm
_0749_,36.4µm
_1322_,36.34µm
_0714_,36.32µm
clknet_leaf_58_aclk,36.22µm
u_read_arbiter.u_read_qos.budget_2\[2\],36.02µm
clknet_leaf_86_aclk,36.02µm
_0694_,35.92µm
_1137_,35.82µm
u_write_arbiter.w_buf_data\[37\],35.8µm
_1849_,35.72µm
_1603_,35.68µm
u_write_arbiter.w_buf_data\[84\],35.58µm
_0687_,35.52µm
u_read_arbiter.u_read_qos.age_m1\[1\],35.44µm
u_write_arbiter.aw_buf_addr\[113\],35.44µm
_1138_,35.38µm
_2358_,35.38µm
_2050_,35.26µm
_3093_,35.2µm
net293,35.2µm
net471,35.18µm
_2007_,35.16µm
u_write_arbiter.aw_buf_addr\[56\],35.16µm
u_read_arbiter.u_read_qos.age_m3\[6\],35.08µm
_3180_,35.04µm
net90,35µm
_0990_,34.98µm
_2327_,34.8µm
_0582_,34.54µm
u_write_arbiter.u_write_qos.m0_burst_count\[4\],34.54µm
_1987_,34.42µm
clknet_leaf_85_aclk,34.4µm
net714,34.38µm
_0755_,34.34µm
net732,34.26µm
u_write_arbiter.aw_buf_addr\[123\],34.24µm
_2108_,34.22µm
_2517_,34.18µm
_1189_,34.12µm
net46,34.04µm
_0935_,33.94µm
u_write_arbiter.u_write_qos.m0_burst_count\[7\],33.86µm
u_write_arbiter.aw_buf_addr\[85\],33.76µm
_0670_,33.72µm
_1643_,33.65µm
_1680_,33.64µm
clknet_leaf_54_aclk,33.64µm
u_write_arbiter.w_buf_data\[54\],33.62µm
_1525_,33.6µm
_1202_,33.56µm
clknet_leaf_45_aclk,33.54µm
_2140_,33.5µm
_1587_,33.46µm
_0535_,33.4µm
_2967_,33.36µm
_0524_,33.32µm
u_write_arbiter.w_buf_data\[79\],33.28µm
_1656_,33.18µm
net667,33.18µm
net543,33.04µm
net463,32.94µm
_1501_,32.88µm
_1956_,32.86µm
_2102_,32.76µm
_2129_,32.58µm
net666,32.52µm
_0942_,32.42µm
net170,32.42µm
net409,32.42µm
net502,32.4µm
u_write_arbiter.u_write_qos.rr_ptr\[2\],32.34µm
_1602_,32.24µm
u_write_arbiter.w_buf_data\[80\],32.24µm
_2805_,32.18µm
u_read_arbiter.u_read_qos.m0_burst_count\[6\],32.1µm
u_write_arbiter.u_write_qos.age_m2\[4\],31.98µm
u_read_arbiter.u_read_qos.age_m3\[2\],31.96µm
_1011_,31.92µm
net491,31.84µm
_2949_,31.83µm
clknet_leaf_70_aclk,31.8µm
_1006_,31.76µm
u_write_arbiter.aw_buf_addr\[120\],31.6µm
net504,31.4µm
net229,31.22µm
u_read_arbiter.u_read_qos.m0_burst_count\[2\],31.14µm
net453,31.12µm
_1431_,31.08µm
net309,31.02µm
_0717_,30.96µm
_2372_,30.9µm
net64,30.9µm
u_read_arbiter.u_read_qos.age_m2\[6\],30.86µm
u_write_arbiter.aw_buf_addr\[20\],30.8µm
_1128_,30.72µm
_3110_,30.64µm
_1020_,30.58µm
_2211_,30.54µm
net85,30.5µm
net35,30.48µm
_2420_,30.44µm
_0598_,30.43µm
net936,30.12µm
_1666_,30.1µm
_2528_,30.06µm
_0752_,30.04µm
u_write_arbiter.w_buf_data\[62\],30.02µm
u_response_router.w_owner_id\[0\],30µm
u_write_arbiter.aw_buf_addr\[17\],30µm
clknet_leaf_5_aclk,30µm
clknet_leaf_31_aclk,29.9µm
_0721_,29.88µm
_1933_,29.88µm
u_write_arbiter.u_write_qos.age_m3\[3\],29.86µm
net265,29.86µm
_3199_,29.82µm
u_write_arbiter.w_buf_data\[83\],29.8µm
_0960_,29.74µm
net185,29.72µm
net458,29.62µm
net171,29.6µm
_0876_,29.36µm
net175,29.36µm
_0526_,29.28µm
u_write_arbiter.w_buf_data\[107\],29.24µm
net896,29.24µm
s_axi_rdata[36],29.21µm
_2005_,29.16µm
_1647_,29.1µm
u_read_arbiter.u_read_qos.age_m3\[3\],28.96µm
_2103_,28.92µm
u_write_arbiter.u_write_qos.age_m1\[5\],28.84µm
_1108_,28.82µm
_1352_,28.82µm
net927,28.82µm
net339,28.8µm
u_write_arbiter.u_write_qos.age_m3\[1\],28.7µm
_1146_,28.675µm
net55,28.66µm
u_write_arbiter.w_buf_data\[11\],28.56µm
net775,28.52µm
net921,28.52µm
u_write_arbiter.aw_buf_addr\[21\],28.51µm
u_write_arbiter.aw_buf_addr\[88\],28.42µm
_2965_,28.36µm
net464,28.36µm
net335,28.34µm
u_write_arbiter.w_buf_data\[61\],28.26µm
net337,28.24µm
net476,28.24µm
_1576_,28.22µm
net462,28.22µm
u_write_arbiter.u_write_qos.m0_burst_count\[0\],27.88µm
_2008_,27.845µm
_1517_,27.84µm
net36,27.76µm
s_axi_rdata[100],27.73µm
_2010_,27.68µm
u_read_arbiter.u_read_qos.age_m1\[0\],27.675µm
net768,27.6µm
_2112_,27.58µm
_2311_,27.54µm
u_read_arbiter.u_read_qos.budget_1\[0\],27.52µm
net467,27.52µm
net669,27.52µm
_1233_,27.48µm
_3153_,27.44µm
_1145_,27.4µm
s_axi_wdata[66],27.38µm
_0720_,27.36µm
_1873_,27.32µm
s_axi_rdata[101],27.19µm
m_axi_rdata[20],27.14µm
net242,27.14µm
u_write_arbiter.u_write_qos.budget_1\[2\],27.13µm
_2133_,27.08µm
_3102_,27.02µm
_0981_,26.98µm
net264,26.98µm
_1445_,26.96µm
clknet_leaf_11_aclk,26.9µm
_2128_,26.88µm
_2304_,26.88µm
u_write_arbiter.w_buf_strb\[15\],26.86µm
u_write_arbiter.aw_buf_addr\[53\],26.84µm
_1625_,26.78µm
net475,26.74µm
_2062_,26.72µm
_2961_,26.66µm
_3017_,26.64µm
_0950_,26.58µm
u_read_arbiter.u_read_qos.age_m2\[4\],26.58µm
u_write_arbiter.w_buf_data\[109\],26.57µm
_2350_,26.54µm
net459,26.52µm
clknet_leaf_49_aclk,26.48µm
u_write_arbiter.aw_buf_addr\[122\],26.36µm
u_write_arbiter.u_write_qos.budget_1\[3\],26.36µm
_3043_,26.26µm
net664,26.26µm
net1132,26.22µm
u_write_arbiter.aw_buf_addr\[0\],26.2µm
net282,26.18µm
_0754_,26.12µm
net541,26.06µm
net460,26.02µm
u_write_arbiter.w_buf_data\[116\],25.98µm
u_write_arbiter.aw_buf_addr\[18\],25.92µm
u_write_arbiter.u_write_qos.budget_2\[3\],25.91µm
u_read_arbiter.u_read_qos.rr_ptr\[2\],25.9µm
u_write_arbiter.aw_buf_addr\[19\],25.9µm
_2797_,25.86µm
u_write_arbiter.u_write_qos.budget_3\[1\],25.82µm
u_read_arbiter.u_read_qos.age_m2\[3\],25.76µm
net448,25.64µm
_1658_,25.62µm
_0837_,25.6µm
_1258_,25.52µm
net806,25.5µm
net334,25.48µm
_1389_,25.4µm
_2125_,25.38µm
_3013_,25.38µm
net496,25.38µm
_2354_,25.26µm
net296,25.24µm
u_write_arbiter.u_write_qos.budget_1\[0\],25.21µm
net815,25.18µm
net280,25.14µm
net681,25.12µm
net392,25.06µm
u_write_arbiter.w_state\[0\],24.98µm
_0019_,24.94µm
_0575_,24.84µm
s_axi_awaddr[28],24.8µm
_2097_,24.7µm
net470,24.62µm
net482,24.58µm
_0581_,24.56µm
u_write_arbiter.u_write_qos.age_m1\[7\],24.52µm
u_write_arbiter.w_buf_data\[59\],24.5µm
_1783_,24.48µm
net205,24.48µm
_1937_,24.42µm
_1241_,24.37µm
_2882_,24.36µm
net275,24.36µm
m_axi_rdata[15],24.32µm
u_write_arbiter.aw_buf_addr\[93\],24.28µm
u_write_arbiter.w_buf_strb\[9\],24.27µm
s_axi_wdata[39],24.24µm
u_write_arbiter.aw_buf_addr\[44\],24.24µm
net661,24.24µm
net841,24.22µm
u_write_arbiter.u_write_qos.age_m1\[0\],24.2µm
u_write_arbiter.u_write_qos.age_m2\[6\],24.2µm
_0934_,24.02µm
s_axi_awaddr[33],23.9µm
_0002_,23.88µm
_1384_,23.84µm
m_axi_wready[0],23.82µm
_3147_,23.78µm
_1215_,23.76µm
clknet_leaf_52_aclk,23.76µm
_2100_,23.74µm
_2086_,23.58µm
u_read_arbiter.u_read_qos.budget_3\[1\],23.42µm
net659,23.42µm
net685,23.42µm
_1048_,23.41µm
u_write_arbiter.u_write_qos.age_m3\[0\],23.34µm
_0686_,23.3µm
_0914_,23.28µm
_1897_,23.26µm
cfg_master0_burst_limit[3],23.24µm
_3156_,23.16µm
_1639_,23.08µm
s_axi_araddr[94],23.05µm
_2892_,23.04µm
m_axi_rdata[25],22.99µm
s_axi_awaddr[98],22.92µm
u_read_arbiter.owner_id_r\[0\],22.92µm
_2786_,22.86µm
_0938_,22.84µm
u_read_arbiter.u_read_qos.age_m3\[7\],22.84µm
net699,22.84µm
_0945_,22.8µm
_1840_,22.8µm
net465,22.78µm
net675,22.76µm
_0075_,22.72µm
_1173_,22.695µm
_1388_,22.66µm
u_write_arbiter.w_buf_data\[69\],22.66µm
u_read_arbiter.u_read_qos.age_m1\[4\],22.64µm
u_write_arbiter.u_write_qos.age_m3\[6\],22.64µm
_3041_,22.62µm
_1923_,22.58µm
_2530_,22.54µm
u_write_arbiter.w_buf_data\[82\],22.52µm
s_axi_awaddr[121],22.5µm
s_axi_awaddr[32],22.44µm
net382,22.42µm
clknet_leaf_96_aclk,22.42µm
s_axi_awaddr[24],22.4µm
_1752_,22.32µm
m_axi_rdata[18],22.32µm
s_axi_wdata[108],22.28µm
net221,22.28µm
net354,22.28µm
_1746_,22.27µm
_1141_,22.24µm
m_axi_rdata[32],22.24µm
u_write_arbiter.u_write_qos.budget_2\[2\],22.24µm
u_write_arbiter.w_buf_data\[120\],22.22µm
_3096_,22.16µm
_1270_,22.14µm
net324,22.14µm
net262,22.12µm
_0574_,22.08µm
u_read_arbiter.u_read_qos.age_m3\[5\],22.08µm
_1260_,22.06µm
_3129_,22.06µm
u_write_arbiter.aw_buf_prot\[3\],22.02µm
net680,22µm
u_write_arbiter.w_buf_data\[5\],21.96µm
_0044_,21.94µm
s_axi_awaddr[64],21.94µm
_0604_,21.9µm
net862,21.9µm
u_write_arbiter.aw_buf_addr\[79\],21.88µm
net261,21.88µm
_0949_,21.84µm
_1079_,21.8µm
_1821_,21.8µm
_1636_,21.76µm
_0564_,21.68µm
u_read_arbiter.u_read_qos.budget_3\[2\],21.66µm
net313,21.66µm
net352,21.62µm
_0652_,21.58µm
_1888_,21.54µm
_2059_,21.54µm
net981,21.46µm
_1136_,21.42µm
_1640_,21.4µm
u_write_arbiter.w_buf_data\[100\],21.4µm
_1652_,21.38µm
s_axi_wstrb[6],21.37µm
_0568_,21.35µm
m_axi_rdata[24],21.32µm
_1992_,21.3µm
u_write_arbiter.aw_buf_addr\[116\],21.26µm
net206,21.18µm
_0872_,21.14µm
_1004_,21.12µm
net663,21.12µm
net381,21.1µm
_2053_,21.08µm
_2889_,21.08µm
_2906_,21.08µm
m_axi_awaddr[35],21.04µm
m_axi_rdata[23],21.02µm
_0618_,21µm
net552,21µm
_0533_,20.96µm
u_write_arbiter.w_buf_data\[96\],20.94µm
u_write_arbiter.w_buf_data\[94\],20.88µm
m_axi_rdata[10],20.86µm
m_axi_rdata[16],20.86µm
u_write_arbiter.aw_buf_addr\[51\],20.86µm
_0679_,20.84µm
_0705_,20.84µm
u_write_arbiter.u_write_qos.budget_1\[1\],20.84µm
_1797_,20.82µm
u_read_arbiter.u_read_qos.age_m1\[6\],20.82µm
u_write_arbiter.w_buf_data\[118\],20.78µm
u_write_arbiter.w_buf_data\[20\],20.74µm
_0905_,20.68µm
net404,20.66µm
net843,20.58µm
_1904_,20.56µm
_1605_,20.54µm
net481,20.52µm
s_axi_rdata[109],20.51µm
s_axi_araddr[121],20.48µm
u_write_arbiter.aw_buf_addr\[12\],20.48µm
u_write_arbiter.u_write_qos.age_m2\[0\],20.46µm
u_write_arbiter.w_buf_strb\[7\],20.44µm
net852,20.44µm
u_write_arbiter.aw_buf_addr\[59\],20.42µm
net466,20.42µm
_2516_,20.4µm
u_read_arbiter.u_read_qos.budget_1\[1\],20.38µm
_2789_,20.32µm
u_write_arbiter.w_buf_data\[99\],20.3µm
_1198_,20.28µm
u_write_arbiter.aw_buf_addr\[77\],20.28µm
u_write_arbiter.w_buf_data\[97\],20.25µm
m_axi_awaddr[22],20.24µm
net294,20.24µm
_1637_,20.2µm
m_axi_rdata[58],20.18µm
u_write_arbiter.w_buf_data\[110\],20.08µm
net778,20.04µm
m_axi_araddr[57],20.02µm
s_axi_awaddr[10],20.02µm
net172,20µm
u_write_arbiter.w_buf_data\[112\],19.96µm
_1599_,19.94µm
m_axi_rdata[2],19.94µm
m_axi_rdata[57],19.94µm
_2251_,19.92µm
net276,19.9µm
u_read_arbiter.u_read_qos.rr_ptr\[0\],19.89µm
_2375_,19.86µm
_1675_,19.85µm
net882,19.78µm
_1495_,19.74µm
m_axi_rdata[35],19.72µm
m_axi_rdata[51],19.72µm
_0955_,19.7µm
u_write_arbiter.aw_buf_addr\[92\],19.7µm
net838,19.66µm
m_axi_rdata[6],19.64µm
net813,19.64µm
_2166_,19.6µm
_1672_,19.54µm
_1833_,19.54µm
_2407_,19.54µm
u_write_arbiter.w_buf_data\[72\],19.54µm
u_write_arbiter.u_write_qos.m0_burst_count\[3\],19.5µm
_2262_,19.46µm
_1252_,19.44µm
_1611_,19.44µm
_1206_,19.42µm
_0901_,19.4µm
u_write_arbiter.aw_buf_addr\[69\],19.4µm
_1261_,19.38µm
net330,19.32µm
net1186,19.32µm
s_axi_araddr[92],19.29µm
net308,19.28µm
net1135,19.26µm
_1275_,19.22µm
_0776_,19.2µm
s_axi_rdata[14],19.19µm
_0848_,19.16µm
u_write_arbiter.w_buf_data\[58\],19.14µm
u_write_arbiter.w_buf_data\[76\],19.08µm
net660,19.08µm
net711,19.08µm
_2841_,18.98µm
net445,18.96µm
u_read_arbiter.u_read_qos.budget_2\[0\],18.93µm
u_write_arbiter.w_state\[1\],18.93µm
m_axi_awaddr[29],18.92µm
net665,18.9µm
u_write_arbiter.w_buf_data\[86\],18.88µm
s_axi_wdata[27],18.85µm
s_axi_awaddr[42],18.84µm
u_write_arbiter.w_buf_data\[29\],18.84µm
net959,18.84µm
_2989_,18.82µm
net679,18.82µm
s_axi_awaddr[111],18.81µm
m_axi_rdata[47],18.78µm
net303,18.76µm
net503,18.76µm
m_axi_rdata[46],18.72µm
_0800_,18.68µm
_1347_,18.66µm
m_axi_rdata[31],18.64µm
net201,18.6µm
_1204_,18.58µm
_0629_,18.54µm
u_write_arbiter.u_write_qos.rr_ptr\[1\],18.52µm
_1654_,18.48µm
u_write_arbiter.w_buf_strb\[3\],18.48µm
_1702_,18.44µm
u_write_arbiter.aw_buf_addr\[80\],18.44µm
net214,18.42µm
net1227,18.42µm
_2056_,18.4µm
_2917_,18.4µm
_1787_,18.39µm
u_write_arbiter.w_buf_data\[74\],18.38µm
_2829_,18.36µm
net281,18.36µm
_0834_,18.32µm
_3135_,18.32µm
_0941_,18.3µm
_1927_,18.28µm
net812,18.28µm
net847,18.28µm
net40,18.22µm
net169,18.2µm
_0518_,18.16µm
u_write_arbiter.aw_buf_addr\[78\],18.16µm
_3056_,18.15µm
_2181_,18.14µm
_0852_,18.1µm
_0590_,18.08µm
_1188_,18.08µm
m_axi_bready[1],18.04µm
_1839_,18µm
_1455_,17.98µm
u_read_arbiter.u_read_qos.rr_ptr\[1\],17.98µm
net405,17.94µm
net274,17.92µm
net954,17.92µm
_2894_,17.9µm
m_axi_rdata[54],17.88µm
s_axi_wdata[10],17.84µm
s_axi_awaddr[47],17.8µm
_0565_,17.78µm
_0633_,17.78µm
net237,17.78µm
_0787_,17.765µm
_0638_,17.76µm
m_axi_awaddr[26],17.76µm
u_write_arbiter.w_buf_data\[26\],17.74µm
s_axi_awaddr[38],17.72µm
u_write_arbiter.w_buf_data\[19\],17.72µm
u_write_arbiter.u_write_qos.age_m1\[4\],17.7µm
u_write_arbiter.u_write_qos.age_m3\[2\],17.62µm
u_write_arbiter.w_buf_data\[117\],17.62µm
_1554_,17.52µm
u_write_arbiter.w_buf_data\[98\],17.52µm
s_axi_wstrb[8],17.45µm
_2729_,17.44µm
_2845_,17.44µm
s_axi_awaddr[4],17.44µm
u_write_arbiter.aw_buf_addr\[76\],17.44µm
net297,17.44µm
_1096_,17.42µm
net539,17.4µm
s_axi_awaddr[44],17.38µm
s_axi_awaddr[81],17.38µm
s_axi_wdata[14],17.38µm
s_axi_wdata[2],17.38µm
s_axi_wdata[34],17.38µm
s_axi_wdata[35],17.38µm
s_axi_wdata[48],17.38µm
s_axi_wdata[4],17.38µm
s_axi_wdata[53],17.38µm
s_axi_wdata[54],17.38µm
s_axi_wdata[71],17.38µm
u_write_arbiter.w_buf_data\[66\],17.38µm
_2252_,17.34µm
s_axi_awaddr[48],17.34µm
s_axi_awaddr[86],17.34µm
_0734_,17.32µm
_1242_,17.32µm
_1013_,17.3µm
_3095_,17.3µm
u_write_arbiter.u_write_qos.age_m1\[2\],17.28µm
_1459_,17.22µm
m_axi_awaddr[3],17.22µm
_1055_,17.18µm
_2519_,17.18µm
_2017_,17.14µm
m_axi_awaddr[34],17.14µm
net771,17.14µm
_0790_,17.12µm
_2106_,17.12µm
m_axi_awprot[4],17.12µm
net658,17.12µm
u_write_arbiter.w_buf_data\[13\],17.08µm
u_write_arbiter.w_buf_data\[119\],17.04µm
_1139_,17.02µm
_2996_,17.02µm
_1091_,17µm
_2910_,17µm
u_write_arbiter.w_buf_data\[125\],17µm
u_write_arbiter.w_buf_strb\[8\],17µm
net366,17µm
clknet_leaf_63_aclk,16.96µm
_0556_,16.94µm
s_axi_awaddr[41],16.92µm
s_axi_awaddr[43],16.92µm
s_axi_wdata[0],16.92µm
s_axi_wdata[103],16.92µm
s_axi_wdata[114],16.92µm
s_axi_wdata[19],16.92µm
s_axi_wdata[51],16.92µm
s_axi_wdata[52],16.92µm
s_axi_wdata[64],16.92µm
net69,16.9µm
_1618_,16.88µm
s_axi_araddr[110],16.84µm
s_axi_wdata[123],16.84µm
cfg_master0_burst_limit[6],16.8µm
_1205_,16.78µm
_1924_,16.78µm
u_read_arbiter.u_read_qos.age_m1\[2\],16.78µm
_2402_,16.76µm
net87,16.76µm
_1062_,16.72µm
m_axi_rdata[27],16.72µm
_1561_,16.68µm
u_read_arbiter.u_read_qos.age_m2\[1\],16.68µm
_1490_,16.6µm
net263,16.56µm
_1071_,16.54µm
m_axi_awaddr[6],16.54µm
s_axi_awaddr[68],16.54µm
_1095_,16.52µm
u_write_arbiter.w_buf_strb\[11\],16.52µm
u_write_arbiter.w_buf_strb\[1\],16.52µm
_1349_,16.5µm
m_axi_rdata[59],16.5µm
s_axi_awaddr[71],16.5µm
_2955_,16.46µm
m_axi_awaddr[1],16.46µm
net826,16.44µm
_1661_,16.42µm
u_write_arbiter.w_buf_data\[44\],16.42µm
_1094_,16.4µm
net676,16.4µm
s_axi_wdata[65],16.38µm
u_write_arbiter.w_buf_data\[88\],16.34µm
s_axi_wdata[75],16.31µm
_1142_,16.3µm
_1601_,16.3µm
_0626_,16.24µm
_1786_,16.24µm
m_axi_awaddr[7],16.24µm
_1779_,16.22µm
m_axi_awaddr[57],16.22µm
u_write_arbiter.w_buf_data\[75\],16.22µm
_0171_,16.2µm
_1493_,16.2µm
_2335_,16.2µm
_3079_,16.2µm
m_axi_awaddr[56],16.2µm
u_write_arbiter.aw_buf_addr\[110\],16.18µm
net383,16.18µm
_0976_,16.14µm
_3025_,16.14µm
net985,16.14µm
_2392_,16.1µm
net208,16.1µm
s_axi_awaddr[56],16.08µm
u_write_arbiter.w_buf_data\[49\],16.06µm
s_axi_wdata[20],16.04µm
_1290_,16.02µm
u_write_arbiter.u_write_qos.age_m3\[7\],16.02µm
s_axi_awaddr[14],16µm
s_axi_wdata[12],16µm
u_write_arbiter.w_buf_data\[51\],16µm
_1282_,15.98µm
u_write_arbiter.u_write_qos.m0_burst_count\[2\],15.98µm
net689,15.98µm
_1103_,15.94µm
s_axi_awaddr[94],15.94µm
_0043_,15.9µm
_1386_,15.9µm
s_axi_wdata[99],15.87µm
_1097_,15.86µm
u_write_arbiter.aw_buf_addr\[47\],15.86µm
u_write_arbiter.w_buf_data\[14\],15.86µm
_3183_,15.84µm
_0007_,15.8µm
_1741_,15.8µm
_1785_,15.8µm
u_write_arbiter.aw_buf_prot\[0\],15.78µm
_1774_,15.76µm
_2023_,15.76µm
_2275_,15.76µm
net47,15.74µm
m_axi_awaddr[20],15.7µm
_0940_,15.68µm
_1131_,15.68µm
_1551_,15.68µm
_2847_,15.68µm
_0599_,15.64µm
_1780_,15.64µm
_0773_,15.625µm
s_axi_awaddr[15],15.62µm
s_axi_awaddr[16],15.62µm
s_axi_awaddr[21],15.62µm
s_axi_awaddr[59],15.62µm
s_axi_awaddr[5],15.62µm
net61,15.6µm
_0259_,15.58µm
s_axi_wdata[23],15.58µm
s_axi_wdata[69],15.58µm
_1319_,15.56µm
_2425_,15.56µm
s_axi_wdata[50],15.54µm
u_read_arbiter.u_read_qos.age_m1\[5\],15.54µm
net278,15.54µm
net540,15.54µm
_2006_,15.52µm
_2144_,15.52µm
_0594_,15.5µm
net365,15.5µm
u_read_arbiter.r_state\[0\],15.49µm
m_axi_awaddr[55],15.46µm
m_axi_rdata[13],15.42µm
m_axi_rdata[38],15.42µm
u_write_arbiter.w_buf_data\[114\],15.4µm
_0001_,15.38µm
_0657_,15.38µm
_2200_,15.38µm
_2232_,15.38µm
m_axi_awaddr[38],15.38µm
_0005_,15.34µm
_1573_,15.34µm
net662,15.34µm
_0910_,15.32µm
_0954_,15.26µm
_2899_,15.26µm
m_axi_awaddr[21],15.24µm
s_axi_araddr[21],15.24µm
_0946_,15.22µm
_1988_,15.22µm
u_write_arbiter.w_buf_data\[89\],15.22µm
_0566_,15.16µm
s_axi_awaddr[84],15.14µm
net1042,15.14µm
s_axi_wdata[127],15.12µm
net312,15.12µm
_2258_,15.1µm
_1067_,15.08µm
s_axi_awaddr[117],15.08µm
s_axi_awaddr[45],15.08µm
u_write_arbiter.aw_buf_addr\[90\],15.08µm
u_write_arbiter.aw_buf_prot\[4\],15.08µm
u_write_arbiter.u_write_qos.budget_2\[0\],15.07µm
_1381_,15.06µm
u_write_arbiter.w_buf_strb\[13\],15.06µm
net178,15.04µm
s_axi_araddr[91],15.01µm
m_axi_awready[1],15µm
u_write_arbiter.aw_buf_addr\[66\],15µm
_1254_,14.98µm
_2428_,14.98µm
m_axi_rdata[62],14.96µm
s_axi_wdata[36],14.96µm
s_axi_wdata[73],14.95µm
u_write_arbiter.w_buf_data\[87\],14.94µm
m_axi_awaddr[60],14.9µm
_1231_,14.88µm
u_write_arbiter.w_buf_data\[10\],14.88µm
net150,14.88µm
_0607_,14.84µm
_1385_,14.77µm
_1650_,14.76µm
_1893_,14.76µm
u_write_arbiter.aw_buf_addr\[46\],14.76µm
m_axi_araddr[55],14.74µm
net75,14.72µm
s_axi_rdata[104],14.71µm
m_axi_awaddr[36],14.7µm
s_axi_awaddr[87],14.7µm
u_write_arbiter.aw_buf_addr\[67\],14.68µm
u_write_arbiter.u_write_qos.age_m2\[3\],14.68µm
m_axi_rdata[8],14.66µm
s_axi_awaddr[3],14.66µm
s_axi_wdata[18],14.66µm
s_axi_wdata[22],14.66µm
s_axi_wdata[3],14.66µm
_1932_,14.64µm
s_axi_wdata[100],14.62µm
s_axi_wdata[107],14.62µm
s_axi_wdata[122],14.62µm
s_axi_wdata[13],14.62µm
_1416_,14.6µm
u_write_arbiter.w_buf_data\[78\],14.6µm
net845,14.6µm
_1085_,14.58µm
s_axi_awaddr[127],14.58µm
s_axi_awaddr[93],14.58µm
u_write_arbiter.aw_buf_addr\[98\],14.58µm
net279,14.58µm
_1135_,14.56µm
_1982_,14.54µm
u_write_arbiter.u_write_qos.age_m2\[7\],14.52µm
m_axi_rdata[45],14.5µm
m_axi_rdata[48],14.5µm
m_axi_rdata[60],14.5µm
net167,14.5µm
_0909_,14.48µm
_1237_,14.48µm
_2111_,14.48µm
_1102_,14.475µm
_0843_,14.46µm
m_axi_bvalid[0],14.46µm
u_write_arbiter.w_buf_data\[1\],14.46µm
net867,14.46µm
_1351_,14.42µm
_2339_,14.42µm
u_write_arbiter.aw_buf_addr\[97\],14.42µm
u_write_arbiter.w_buf_data\[123\],14.42µm
u_write_arbiter.w_buf_data\[30\],14.42µm
u_write_arbiter.w_buf_data\[41\],14.42µm
u_write_arbiter.w_buf_data\[52\],14.42µm
net848,14.42µm
net956,14.42µm
_0600_,14.38µm
_0622_,14.38µm
_0702_,14.38µm
_2975_,14.38µm
u_read_arbiter.u_read_qos.budget_2\[1\],14.38µm
net66,14.36µm
m_axi_awaddr[5],14.32µm
net317,14.32µm
_1056_,14.3µm
_1730_,14.3µm
clknet_leaf_64_aclk,14.3µm
_2954_,14.28µm
_0863_,14.26µm
_3067_,14.26µm
s_axi_awaddr[30],14.24µm
m_axi_rdata[17],14.2µm
m_axi_rdata[34],14.2µm
m_axi_rdata[52],14.2µm
s_axi_araddr[11],14.2µm
s_axi_wdata[102],14.2µm
s_axi_wdata[32],14.2µm
s_axi_wdata[38],14.2µm
s_axi_wdata[6],14.2µm
s_axi_wdata[70],14.2µm
u_write_arbiter.w_buf_data\[46\],14.18µm
_0736_,14.16µm
s_axi_awaddr[46],14.16µm
u_write_arbiter.aw_buf_addr\[111\],14.16µm
_3020_,14.14µm
net369,14.14µm
s_axi_awaddr[113],14.12µm
s_axi_awaddr[53],14.12µm
s_axi_awaddr[74],14.12µm
net915,14.12µm
_1066_,14.1µm
u_write_arbiter.aw_buf_addr\[105\],14.1µm
_0823_,14.06µm
u_write_arbiter.aw_buf_addr\[87\],14.06µm
_0681_,14.055µm
_1070_,14.02µm
_3164_,14.02µm
u_write_arbiter.aw_buf_prot\[9\],14.02µm
net958,14.02µm
_0793_,14µm
net1236,14µm
m_axi_awaddr[43],13.98µm
m_axi_awvalid[1],13.98µm
_1834_,13.96µm
m_axi_awaddr[33],13.94µm
u_write_arbiter.w_buf_data\[8\],13.92µm
s_axi_araddr[83],13.91µm
_0608_,13.88µm
_1792_,13.88µm
_2078_,13.88µm
_1350_,13.87µm
_2426_,13.86µm
_2924_,13.86µm
m_axi_rvalid[1],13.86µm
