net,length_um
net753,377.78µm
_2477_,376.06µm
_2085_,374.39µm
net433,372.2µm
_2762_,371.98µm
net355,371.26µm
net739,371.04µm
net151,369.86µm
u_read_arbiter.u_read_qos.f_first_cycle,366.38µm
_1295_,363.94µm
_1486_,363.7µm
net533,361.18µm
net935,357.7µm
_1548_,352.56µm
net930,349.6µm
net751,349.26µm
net199,346µm
net931,345.5µm
_1533_,345.2µm
net156,345.2µm
net4,344.43µm
_1024_,343.62µm
net163,341.78µm
net603,339.36µm
net599,334.86µm
_1854_,334.14µm
net161,333.9µm
net116,333.34µm
net226,333.26µm
net348,332.96µm
net128,332.18µm
_1567_,330.26µm
_2867_,330.26µm
net741,327.74µm
net153,327.68µm
_3027_,327.3µm
net230,327.02µm
net928,326.12µm
net534,324.955µm
_2868_,324.16µm
net740,323.975µm
_1543_,321.68µm
net625,320.68µm
net937,320.66µm
net532,319.96µm
net742,319.02µm
_3137_,318.27µm
_3057_,317.46µm
net605,316.42µm
net5,316.24µm
net535,315.7µm
_2683_,315.48µm
net932,313.82µm
net133,313.48µm
net193,312.54µm
net259,312.02µm
net166,309.56µm
_2835_,309.27µm
net127,307.92µm
net152,306.38µm
net130,306.36µm
net137,303.98µm
net583,303.46µm
net7,300.86µm
net115,300.82µm
net158,300.42µm
net614,300.1µm
net165,299.78µm
_0779_,299.14µm
u_write_arbiter.arb_tx_done,299.1µm
net582,299.06µm
_0772_,297.47µm
u_read_arbiter.r_target_invalid,293.08µm
_0767_,292.33µm
_1843_,292.3µm
_2116_,290.76µm
net764,290.28µm
net301,290.02µm
net114,287.52µm
net600,286.4µm
_1508_,285.08µm
_0799_,284.82µm
_2488_,284.07µm
_1542_,283.04µm
_2871_,282.24µm
_0624_,281.22µm
net213,279.66µm
net746,279.58µm
net593,278.84µm
_2839_,277.14µm
net591,276.12µm
net671,272.78µm
_2694_,269.895µm
net6,269.01µm
net696,269µm
net124,266.88µm
net253,266.62µm
_2836_,265.775µm
net304,264.86µm
clknet_2_0_0_aclk,264.78µm
net761,264.42µm
net305,263.58µm
net594,261.56µm
net596,259.9µm
_0627_,258.66µm
_0528_,258.36µm
_1538_,258.36µm
net292,258.16µm
_2863_,257.49µm
net9,256.68µm
net765,256.38µm
_0760_,255.72µm
_2728_,254.54µm
net144,253.48µm
_2828_,251µm
net757,251µm
_1417_,250.1µm
net762,249.76µm
_0992_,248.22µm
net113,247.74µm
clknet_2_2_0_aclk,246.72µm
_1043_,245.53µm
net759,242.96µm
net143,240.82µm
net380,239.14µm
net138,238.68µm
net785,238.28µm
_3125_,237.21µm
_1021_,236.6µm
_0612_,236.22µm
_2046_,234.54µm
_1532_,233.98µm
net745,233.68µm
net400,233.28µm
_1325_,232.295µm
_3082_,230.96µm
net589,229.69µm
net131,229.54µm
_1022_,228.76µm
_2639_,227.01µm
_2830_,224.86µm
net132,224.8µm
_1180_,224.62µm
_1871_,224.08µm
_2941_,223.46µm
_0551_,223.04µm
net188,222.38µm
clknet_2_1_0_aclk,222.12µm
_0636_,221.96µm
_0552_,221.18µm
_2571_,220.4µm
_2109_,220.2µm
net549,219.84µm
net747,218.94µm
net345,218.84µm
_1536_,216.64µm
net266,215.8µm
net610,213.9µm
_2184_,213.78µm
_0620_,213.18µm
net119,212.82µm
net563,212.72µm
net350,210.96µm
u_read_arbiter.arb_tx_done,210.16µm
net142,210.1µm
net588,209.84µm
net225,209.76µm
net776,208.9µm
net223,208.24µm
_2897_,208.18µm
_2187_,208µm
_0587_,207.44µm
_0757_,207.14µm
_2605_,207µm
net8,206.98µm
net70,206.98µm
_3119_,206.2µm
net358,206.02µm
_1861_,205.5µm
net639,204.86µm
net376,204.58µm
_0756_,204.29µm
_3046_,203.5µm
net426,202.9µm
_0765_,202.79µm
_2101_,202.43µm
_3131_,201.76µm
_2650_,201.58µm
_3051_,200.96µm
net254,200.55µm
net215,199.75µm
net424,199.54µm
_2088_,198.34µm
net758,198.24µm
clknet_2_3_0_aclk,198.08µm
net24,197.72µm
_2193_,197.66µm
net136,196.96µm
net427,196.92µm
net200,196.86µm
net140,196.66µm
net149,196.54µm
_3145_,195.31µm
_1038_,195.295µm
_2859_,193.11µm
net256,193.08µm
_2856_,193.06µm
_1293_,192.78µm
_0585_,192.54µm
u_write_arbiter.w_buf_data\[33\],191.88µm
_2197_,191.76µm
net630,191.72µm
_2826_,191.16µm
net3,190.7µm
net255,190.57µm
_3045_,190.12µm
net729,189.85µm
_2199_,189.6µm
net154,188.22µm
_3049_,188.02µm
_3143_,187.04µm
_2188_,186.91µm
_2185_,186.44µm
_2881_,185.4µm
net216,183.98µm
_1032_,183.72µm
net217,183.48µm
net52,183.42µm
_3151_,182.81µm
net584,182.46µm
_1869_,181.44µm
_3149_,180.62µm
_1857_,180.41µm
_0579_,180.38µm
net148,180.26µm
net606,179.64µm
net176,179.38µm
net112,179.24µm
_0786_,178.74µm
_2439_,178.6µm
net157,178.3µm
_0625_,178.22µm
_1033_,175.94µm
net117,175.52µm
_0538_,175.44µm
_2913_,175.26µm
net310,174.76µm
_2973_,174.4µm
net375,173.42µm
net432,172.98µm
net395,171.1µm
_3052_,171.06µm
net164,170.84µm
_2192_,170.62µm
net602,170.62µm
_3166_,170.29µm
net601,169.5µm
_1286_,168.58µm
net129,168.54µm
net670,168.2µm
net723,167.92µm
_0542_,167.02µm
net155,166.96µm
_2860_,166.34µm
net102,166.16µm
net609,166.16µm
_1029_,164.38µm
net607,163.48µm
net160,163.18µm
_1081_,162.9µm
_0628_,161.2µm
_2616_,160.68µm
_1896_,159.5µm
_3084_,159.42µm
_0764_,159.39µm
net748,158.48µm
net74,156.82µm
net724,156.63µm
_2901_,156.16µm
_2980_,156.04µm
_3111_,155.76µm
_3228_,154.6µm
net34,152.16µm
_1866_,151.42µm
_3055_,150.77µm
net372,150.26µm
net240,150.24µm
net88,149.56µm
_3054_,149.5µm
net391,148.02µm
net360,147.12µm
net204,146.62µm
_2093_,146.5µm
_1921_,146.25µm
net385,145.64µm
net750,145.16µm
_1885_,145.02µm
net792,144.04µm
_2322_,144.03µm
net33,143.77µm
u_write_arbiter.aw_buf_addr\[23\],143.68µm
net744,142.86µm
_2751_,142.81µm
_2177_,142.715µm
_1591_,142.3µm
net701,142.1µm
_2827_,142.015µm
_3117_,141.78µm
_0596_,141.335µm
_0561_,140.605µm
net361,140.26µm
_1537_,140.22µm
_2190_,140.09µm
net20,139.96µm
net713,139.92µm
net730,139.88µm
net430,139.46µm
net677,139.05µm
net283,138.98µm
net738,138.5µm
_3105_,138.48µm
